Bed Room,BHK,Place,Price,Sq Ft,Dealer Type
2,BHK,Kolkata,37.42,891,Broker
2,BHK,Kolkata,50.07,963,Broker
2,BHK,Kolkata,28.75,1065,Broker
2,BHK,Kolkata,57.8,850,Broker
2,BHK,Kolkata,23.89,885,Broker
2,BHK,Kolkata,40.85,1100,Broker
2,BHK,Kolkata,31.51,955,Broker
2,BHK,Kolkata,24.58,745,Broker
2,BHK,Kolkata,28.18,854,Broker
2,BHK,Kolkata,52.69,1171,Broker
2,BHK,Kolkata,90.62,1062,Broker
1,BHK,Kolkata,17.29,556,Broker
2,BHK,Kolkata,50.23,1322,Broker
2,BHK,Kolkata,35.24,744,Broker
2,BHK,Kolkata,62.71,1206,Broker
2,BHK,Kolkata,19.8,900,Broker
2,BHK,Kolkata,70.72,1360,Broker
2,BHK,Kolkata,48.76,1219,Broker
2,BHK,Kolkata,29,725,Broker
2,BHK,Kolkata,44.8,1120,Broker
2,BHK,Kolkata,34.26,659,Broker
2,BHK,Kolkata,12.65,452,Broker
2,BHK,Kolkata,63.65,1273,Broker
2,BHK,Kolkata,72.95,1459,Broker
2,BHK,Kolkata,93.99,1218,Broker
2,BHK,Kolkata,76.34,1388,Broker
2,BHK,Kolkata,63.03,1146,Broker
2,BHK,Kolkata,93.99,1218,Broker
2,BHK,Kolkata,87.99,1500,Broker
2,BHK,Kolkata,63.65,1085,Broker
2,BHK,Kolkata,43.7,875,Broker
2,BHK,Kolkata,53,878,Broker
2,BHK,Kolkata,68.12,811,Broker
2,BHK,Kolkata,36.18,804,Broker
2,BHK,Kolkata,42,1200,Broker
2,BHK,Kolkata,35.94,1027,Broker
2,BHK,Kolkata,50.58,1124,Broker
2,BHK,Kolkata,38.43,854,Broker
2,BHK,Kolkata,19.44,432,Broker
2,BHK,Kolkata,32.48,812,Broker
2,BHK,Kolkata,47.12,1178,Broker
2,BHK,Kolkata,37.64,1090,Broker
2,BHK,Kolkata,29.94,879,Broker
2,BHK,Kolkata,66.15,1575,Broker
2,BHK,Kolkata,33.05,787,Broker
3,BHK,Kolkata,43.86,1081,Broker
2,BHK,Kolkata,28,884,Broker
3,BHK,Kolkata,51.44,808,Broker
4,BHK,Kolkata,87.21,1938,Broker
3,BHK,Kolkata,62.22,915,Broker
2,BHK,Kolkata,48,1231,Broker
2,BHK,Kolkata,68,1053,Broker
2,BHK,Kolkata,44.54,655,Broker
4,BHK,Kolkata,98.5,2985,Broker
2,BHK,Kolkata,62.67,1177,Broker
2,BHK,Kolkata,43.7,875,Broker
2,BHK,Kolkata,43.87,914,Broker
2,BHK,Kolkata,28.21,1069,Broker
2,BHK,Kolkata,19.32,483,Broker
2,BHK,Kolkata,57,840,Broker
3,BHK,Kolkata,31.54,956,Broker
3,BHK,Kolkata,23.94,921,Broker
2,BHK,Kolkata,79.56,1170,Broker
2,BHK,Kolkata,25.23,627,Broker
2,BHK,Kolkata,32.9,1175,Broker
2,BHK,Kolkata,67.57,1165,Broker
2,BHK,Kolkata,29.54,1055,Broker
2,BHK,Kolkata,25,893,Broker
2,BHK,Kolkata,40.8,1020,Broker
3,BHK,Kolkata,35.82,1025,Broker
2,BHK,Kolkata,27.99,801,Broker
2,BHK,Kolkata,28.83,790,Broker
2,BHK,Kolkata,73.1,1075,Broker
3,BHK,Kolkata,51.44,923,Broker
2,BHK,Kolkata,18.35,437,Broker
2,BHK,Kolkata,17.01,405,Broker
2,BHK,Kolkata,63.75,1386,Broker
2,BHK,Kolkata,29.54,1055,Broker
2,BHK,Kolkata,24.37,750,Broker
3,BHK,Kolkata,43.86,1081,Broker
2,BHK,Kolkata,71,904,Broker
2,BHK,Kolkata,46.2,2100,Broker
2,BHK,Kolkata,25.3,1150,Broker
2,BHK,Kolkata,54,1100,Broker
2,BHK,Kolkata,40.32,960,Broker
3,BHK,Kolkata,39.89,1339,Broker
2,BHK,Kolkata,37.42,891,Broker
2,BHK,Kolkata,16.29,388,Broker
2,BHK,Kolkata,21,500,Broker
2,BHK,Kolkata,15.4,700,Broker
2,BHK,Kolkata,46.48,1328,Broker
2,BHK,Kolkata,9.9,450,Broker
2,BHK,Kolkata,68.95,1326,Broker
2,BHK,Kolkata,33.4,944,Broker
3,BHK,Kolkata,43.43,1190,Broker
2,BHK,Kolkata,72.49,1611,Broker
3,BHK,Kolkata,73.31,1264,Broker
2,BHK,Kolkata,36.18,885,Broker
2,BHK,Kolkata,40,800,Broker
2,BHK,Kolkata,52.38,1164,Broker
2,BHK,Kolkata,13.5,500,Broker
2,BHK,Kolkata,22.35,745,Broker
2,BHK,Kolkata,23.4,780,Broker
2,BHK,Kolkata,42.73,1221,Broker
2,BHK,Kolkata,54.43,1296,Broker
2,BHK,Kolkata,21,500,Broker
2,BHK,Kolkata,30.15,670,Broker
2,BHK,Kolkata,43.02,900,Broker
2,BHK,Kolkata,64.06,1232,Broker
2,BHK,Kolkata,23.01,1174,Broker
2,BHK,Kolkata,50,939,Broker
3,BHK,Kolkata,81.84,1240,Broker
2,BHK,Kolkata,20.29,823,Broker
2,BHK,Kolkata,58.6,1363,Broker
2,BHK,Kolkata,29.04,1117,Broker
2,BHK,Kolkata,18,786,Broker
3,BHK,Kolkata,40,1032,Individual
2,BHK,Kolkata,40.25,1150,Broker
2,BHK,Kolkata,24.85,710,Broker
2,BHK,Kolkata,41.71,927,Broker
2,BHK,Kolkata,46.5,750,Broker
3,BHK,Kolkata,40.28,1119,Broker
3,BHK,Kolkata,48,1200,Broker
4,BHK,Kolkata,92.7,2060,Broker
3,BHK,Kolkata,50.48,1174,Broker
3,BHK,Kolkata,65,1470,Individual
2,BHK,Kolkata,23.19,773,Broker
2,BHK,Kolkata,63.6,1325,Broker
2,BHK,Kolkata,45,960,Broker
2,BHK,Kolkata,28,720,Individual
2,BHK,Kolkata,38.58,839,Broker
1,BHK,Kolkata,20,565,Broker
3,BHK,Kolkata,39.41,993,Broker
